Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sun,2023-01-22,18:30 (12:30),Barcelona,0.7,1–0,1.1,Getafe,79814,Camp Nou,Javier Villanueva,Match Report,
18,Sun,2023-01-22,21:00 (15:00),Athletic Club,1.1,0–2,1.1,Real Madrid,49316,San Mamés,José Sánchez,Match Report,
18,Mon,2023-01-23,21:00 (15:00),Valencia,1.9,2–2,1.4,Almería,33442,Estadio de Mestalla,Jesús Gil,Match Report,
,,,,,,,,,,,,,
19,Fri,2023-01-27,21:00 (15:00),Almería,2.1,3–1,0.8,Espanyol,11629,Power Horse Stadium,Javier Villanueva,Match Report,
19,Sat,2023-01-28,14:00 (08:00),Cádiz,1.9,2–0,0.4,Mallorca,16117,Estadio Nuevo Mirandilla,Ricardo de Burgos,Match Report,
19,Sat,2023-01-28,16:15 (10:15),Girona,1.1,0–1,1.1,Barcelona,13402,Estadi Municipal de Montilivi,Alejandro Muñíz,Match Report,
19,Sat,2023-01-28,18:30 (12:30),Sevilla,3.2,3–0,0.4,Elche,35567,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
19,Sat,2023-01-28,21:00 (15:00),Getafe,0.3,0–1,1.7,Betis,11851,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
19,Sun,2023-01-29,14:00 (08:00),Valladolid,1.5,1–0,1.2,Valencia,19675,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
19,Sun,2023-01-29,16:15 (10:15),Osasuna,0.9,0–1,1.6,Atlético Madrid,20902,Estadio El Sadar,Alberola Rojas,Match Report,
19,Sun,2023-01-29,18:30 (12:30),Celta Vigo,0.7,1–0,0.4,Athletic Club,14754,Estadio de Balaídos,Isidro Díaz de Mera,Match Report,
19,Sun,2023-01-29,21:00 (15:00),Real Madrid,1.3,0–0,0.4,Real Sociedad,58129,Estadio Santiago Bernabéu,Mario Melero,Match Report,
19,Mon,2023-01-30,21:00 (15:00),Villarreal,0.8,0–1,1.0,Rayo Vallecano,14378,Estadio de la Cerámica,Juan Pulido,Match Report,
,,,,,,,,,,,,,
17,Wed,2023-02-01,21:00 (15:00),Betis,0.6,1–2,1.9,Barcelona,48181,Estadio Benito Villamarín,Ricardo de Burgos,Match Report,
17,Thu,2023-02-02,21:00 (15:00),Real Madrid,2.3,2–0,0.2,Valencia,51926,Estadio Santiago Bernabéu,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
20,Fri,2023-02-03,21:00 (15:00),Athletic Club,1.7,4–1,1.6,Cádiz,42916,San Mamés,Valentín Pizarro,Match Report,
20,Sat,2023-02-04,14:00 (08:00),Espanyol,1.4,1–1,0.9,Osasuna,22438,RCDE Stadium,Jesús Gil,Match Report,
20,Sat,2023-02-04,16:15 (10:15),Elche,3.0,3–1,1.4,Villarreal,18421,Estadio Manuel Martínez Valero,José Luis Munuera,Match Report,
20,Sat,2023-02-04,18:30 (12:30),Atlético Madrid,0.7,1–1,1.2,Getafe,56079,Estadio Cívitas Metropolitano,Antonio Matéu,Match Report,
20,Sat,2023-02-04,21:00 (15:00),Betis,3.4,3–4,1.9,Celta Vigo,46595,Estadio Benito Villamarín,Carlos del Cerro,Match Report,
20,Sun,2023-02-05,14:00 (08:00),Mallorca,0.2,1–0,1.7,Real Madrid,18258,Iberostar Estadi,Alejandro Hernández,Match Report,
20,Sun,2023-02-05,16:15 (10:15),Girona,2.3,1–0,1.0,Valencia,10732,Estadi Municipal de Montilivi,Javier Villanueva,Match Report,
20,Sun,2023-02-05,18:30 (12:30),Real Sociedad,1.2,0–1,0.7,Valladolid,32214,Reale Arena,Pablo González,Match Report,
20,Sun,2023-02-05,21:00 (15:00),Barcelona,2.7,3–0,0.1,Sevilla,77987,Camp Nou,José Sánchez,Match Report,
20,Mon,2023-02-06,21:00 (15:00),Rayo Vallecano,1.2,2–0,1.2,Almería,11783,Estadio del Rayo Vallecano,César Soto,Match Report,
,,,,,,,,,,,,,
21,Fri,2023-02-10,21:00 (15:00),Cádiz,0.7,2–0,0.2,Girona,14873,Estadio Nuevo Mirandilla,Juan Pulido,Match Report,
21,Sat,2023-02-11,16:15 (10:15),Almería,2.2,2–3,2.6,Betis,14288,Power Horse Stadium,Alberola Rojas,Match Report,
21,Sat,2023-02-11,18:30 (12:30),Sevilla,2.1,2–0,0.2,Mallorca,35150,Estadio Ramón Sánchez Pizjuán,Javier Villanueva,Match Report,
21,Sat,2023-02-11,21:00 (15:00),Valencia,1.5,1–2,1.3,Athletic Club,36688,Estadio de Mestalla,César Soto,Match Report,
21,Sun,2023-02-12,14:00 (08:00),Getafe,1.5,1–1,2.1,Rayo Vallecano,12042,Coliseum Alfonso Pérez,Isidro Díaz de Mera,Match Report,
21,Sun,2023-02-12,16:15 (10:15),Celta Vigo,1.1,0–1,1.0,Atlético Madrid,15842,Estadio de Balaídos,Jorge Figueroa,Match Report,
21,Sun,2023-02-12,18:30 (12:30),Valladolid,1.5,0–0,0.7,Osasuna,21044,Estadio Municipal José Zorrilla,Guillermo Cuadra,Match Report,
21,Sun,2023-02-12,21:00 (15:00),Villarreal,1.1,0–1,1.5,Barcelona,21178,Estadio de la Cerámica,Alejandro Hernández,Match Report,
21,Mon,2023-02-13,21:00 (15:00),Espanyol,1.1,2–3,1.4,Real Sociedad,15867,RCDE Stadium,Alejandro Muñíz,Match Report,
21,Wed,2023-02-15,21:00 (15:00),Real Madrid,4.2,4–0,0.6,Elche,44319,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
,,,,,,,,,,,,,
22,Fri,2023-02-17,21:00 (15:00),Girona,2.9,6–2,1.7,Almería,8879,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
22,Sat,2023-02-18,14:00 (08:00),Real Sociedad,1.2,1–1,1.4,Celta Vigo,29312,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
22,Sat,2023-02-18,16:15 (10:15),Betis,2.5,2–1,0.9,Valladolid,51396,Estadio Benito Villamarín,Antonio Matéu,Match Report,
22,Sat,2023-02-18,18:30 (12:30),Mallorca,2.3,4–2,1.2,Villarreal,13957,Iberostar Estadi,José Sánchez,Match Report,
22,Sat,2023-02-18,21:00 (15:00),Osasuna,0.5,0–2,1.3,Real Madrid,21668,Estadio El Sadar,José Luis Munuera,Match Report,
22,Sun,2023-02-19,14:00 (08:00),Elche,1.6,0–1,1.2,Espanyol,18963,Estadio Manuel Martínez Valero,Carlos del Cerro,Match Report,
22,Sun,2023-02-19,16:15 (10:15),Rayo Vallecano,1.3,1–1,0.5,Sevilla,13294,Estadio del Rayo Vallecano,Jesús Gil,Match Report,
22,Sun,2023-02-19,18:30 (12:30),Atlético Madrid,1.1,1–0,0.8,Athletic Club,61617,Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
22,Sun,2023-02-19,21:00 (15:00),Barcelona,2.1,2–0,1.3,Cádiz,72010,Camp Nou,Pablo González,Match Report,
22,Mon,2023-02-20,21:00 (15:00),Getafe,1.7,1–0,0.9,Valencia,10112,Coliseum Alfonso Pérez,Mario Melero,Match Report,
,,,,,,,,,,,,,
23,Fri,2023-02-24,21:00 (15:00),Elche,1.0,2–3,4.1,Betis,20643,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
23,Sat,2023-02-25,14:00 (08:00),Espanyol,,,,Mallorca,,RCDE Stadium,,Head-to-Head,
23,Sat,2023-02-25,16:15 (10:15),Cádiz,,,,Rayo Vallecano,,Estadio Nuevo Mirandilla,,Head-to-Head,
23,Sat,2023-02-25,18:30 (12:30),Real Madrid,,,,Atlético Madrid,,Estadio Santiago Bernabéu,,Head-to-Head,
23,Sat,2023-02-25,21:00 (15:00),Valencia,,,,Real Sociedad,,Estadio de Mestalla,,Head-to-Head,
23,Sun,2023-02-26,14:00 (08:00),Athletic Club,,,,Girona,,San Mamés,,Head-to-Head,
23,Sun,2023-02-26,16:15 (10:15),Celta Vigo,,,,Valladolid,,Estadio de Balaídos,,Head-to-Head,
23,Sun,2023-02-26,18:30 (12:30),Almería,,,,Barcelona,,Power Horse Stadium,,Head-to-Head,
23,Sun,2023-02-26,21:00 (15:00),Sevilla,,,,Osasuna,,Estadio Ramón Sánchez Pizjuán,,Head-to-Head,
23,Mon,2023-02-27,21:00 (15:00),Villarreal,,,,Getafe,,Estadio de la Cerámica,,Head-to-Head,
,,,,,,,,,,,,,
24,Fri,2023-03-03,21:00 (15:00),Real Sociedad,,,,Cádiz,,Reale Arena,,Head-to-Head,
24,Sat,2023-03-04,14:00 (08:00),Getafe,,,,Girona,,Coliseum Alfonso Pérez,,Head-to-Head,
24,Sat,2023-03-04,16:15 (10:15),Almería,,,,Villarreal,,Power Horse Stadium,,Head-to-Head,
24,Sat,2023-03-04,18:30 (12:30),Mallorca,,,,Elche,,Iberostar Estadi,,Head-to-Head,
24,Sat,2023-03-04,21:00 (15:00),Atlético Madrid,,,,Sevilla,,Estadio Cívitas Metropolitano,,Head-to-Head,
24,Sun,2023-03-05,14:00 (08:00),Valladolid,,,,Espanyol,,Estadio Municipal José Zorrilla,,Head-to-Head,
24,Sun,2023-03-05,16:15 (10:15),Barcelona,,,,Valencia,,Camp Nou,,Head-to-Head,
24,Sun,2023-03-05,18:30 (12:30),Rayo Vallecano,,,,Athletic Club,,Estadio del Rayo Vallecano,,Head-to-Head,
24,Sun,2023-03-05,21:00 (15:00),Betis,,,,Real Madrid,,Estadio Benito Villamarín,,Head-to-Head,
24,Mon,2023-03-06,21:00 (15:00),Osasuna,,,,Celta Vigo,,Estadio El Sadar,,Head-to-Head,
,,,,,,,,,,,,,
25,Fri,2023-03-10,21:00 (15:00),Cádiz,,,,Getafe,,Estadio Nuevo Mirandilla,,Head-to-Head,
25,Sat,2023-03-11,14:00 (08:00),Real Madrid,,,,Espanyol,,Estadio Santiago Bernabéu,,Head-to-Head,
25,Sat,2023-03-11,16:15 (10:15),Elche,,,,Valladolid,,Estadio Manuel Martínez Valero,,Head-to-Head,
25,Sat,2023-03-11,18:30 (12:30),Celta Vigo,,,,Rayo Vallecano,,Estadio de Balaídos,,Head-to-Head,
25,Sat,2023-03-11,21:00 (15:00),Valencia,,,,Osasuna,,Estadio de Mestalla,,Head-to-Head,
25,Sun,2023-03-12,14:00 (09:00),Mallorca,,,,Real Sociedad,,Iberostar Estadi,,Head-to-Head,
25,Sun,2023-03-12,16:15 (11:15),Sevilla,,,,Almería,,Estadio Ramón Sánchez Pizjuán,,Head-to-Head,
25,Sun,2023-03-12,18:30 (13:30),Villarreal,,,,Betis,,Estadio de la Cerámica,,Head-to-Head,
25,Sun,2023-03-12,21:00 (16:00),Athletic Club,,,,Barcelona,,San Mamés,,Head-to-Head,
25,Mon,2023-03-13,21:00 (16:00),Girona,,,,Atlético Madrid,,Estadi Municipal de Montilivi,,Head-to-Head,
,,,,,,,,,,,,,
26,Fri,2023-03-17,21:00 (16:00),Valladolid,,,,Athletic Club,,Estadio Municipal José Zorrilla,,Head-to-Head,
26,Sat,2023-03-18,14:00 (09:00),Almería,,,,Cádiz,,Power Horse Stadium,,Head-to-Head,
26,Sat,2023-03-18,16:15 (11:15),Rayo Vallecano,,,,Girona,,Estadio del Rayo Vallecano,,Head-to-Head,
26,Sat,2023-03-18,18:30 (13:30),Espanyol,,,,Celta Vigo,,RCDE Stadium,,Head-to-Head,
26,Sat,2023-03-18,21:00 (16:00),Atlético Madrid,,,,Valencia,,Estadio Cívitas Metropolitano,,Head-to-Head,
26,Sun,2023-03-19,14:00 (09:00),Betis,,,,Mallorca,,Estadio Benito Villamarín,,Head-to-Head,
26,Sun,2023-03-19,16:15 (11:15),Osasuna,,,,Villarreal,,Estadio El Sadar,,Head-to-Head,
26,Sun,2023-03-19,16:15 (11:15),Real Sociedad,,,,Elche,,Reale Arena,,Head-to-Head,
26,Sun,2023-03-19,18:30 (13:30),Getafe,,,,Sevilla,,Coliseum Alfonso Pérez,,Head-to-Head,
26,Sun,2023-03-19,21:00 (16:00),Barcelona,,,,Real Madrid,,Camp Nou,,Head-to-Head,
,,,,,,,,,,,,,
27,Sun,2023-04-02,,Elche,,,,Barcelona,,Estadio Manuel Martínez Valero,,Head-to-Head,
27,Sun,2023-04-02,,Girona,,,,Espanyol,,Estadi Municipal de Montilivi,,Head-to-Head,
27,Sun,2023-04-02,,Celta Vigo,,,,Almería,,Estadio de Balaídos,,Head-to-Head,
27,Sun,2023-04-02,,Atlético Madrid,,,,Betis,,Estadio Cívitas Metropolitano,,Head-to-Head,
27,Sun,2023-04-02,,Villarreal,,,,Real Sociedad,,Estadio de la Cerámica,,Head-to-Head,
27,Sun,2023-04-02,,Cádiz,,,,Sevilla,,Estadio Nuevo Mirandilla,,Head-to-Head,
27,Sun,2023-04-02,,Mallorca,,,,Osasuna,,Iberostar Estadi,,Head-to-Head,
27,Sun,2023-04-02,,Valencia,,,,Rayo Vallecano,,Estadio de Mestalla,,Head-to-Head,
27,Sun,2023-04-02,,Real Madrid,,,,Valladolid,,Estadio Santiago Bernabéu,,Head-to-Head,
27,Sun,2023-04-02,,Athletic Club,,,,Getafe,,San Mamés,,Head-to-Head,
,,,,,,,,,,,,,
28,Sun,2023-04-09,,Almería,,,,Valencia,,,,Head-to-Head,
28,Sun,2023-04-09,,Barcelona,,,,Girona,,,,Head-to-Head,
28,Sun,2023-04-09,,Real Sociedad,,,,Getafe,,,,Head-to-Head,
28,Sun,2023-04-09,,Osasuna,,,,Elche,,,,Head-to-Head,
28,Sun,2023-04-09,,Valladolid,,,,Mallorca,,,,Head-to-Head,
28,Sun,2023-04-09,,Sevilla,,,,Celta Vigo,,,,Head-to-Head,
28,Sun,2023-04-09,,Espanyol,,,,Athletic Club,,,,Head-to-Head,
28,Sun,2023-04-09,,Real Madrid,,,,Villarreal,,,,Head-to-Head,
28,Sun,2023-04-09,,Rayo Vallecano,,,,Atlético Madrid,,,,Head-to-Head,
28,Sun,2023-04-09,,Betis,,,,Cádiz,,,,Head-to-Head,
,,,,,,,,,,,,,
29,Sun,2023-04-16,,Girona,,,,Elche,,,,Head-to-Head,
29,Sun,2023-04-16,,Betis,,,,Espanyol,,,,Head-to-Head,
29,Sun,2023-04-16,,Cádiz,,,,Real Madrid,,,,Head-to-Head,
29,Sun,2023-04-16,,Celta Vigo,,,,Mallorca,,,,Head-to-Head,
29,Sun,2023-04-16,,Athletic Club,,,,Real Sociedad,,,,Head-to-Head,
29,Sun,2023-04-16,,Villarreal,,,,Valladolid,,,,Head-to-Head,
29,Sun,2023-04-16,,Valencia,,,,Sevilla,,,,Head-to-Head,
29,Sun,2023-04-16,,Rayo Vallecano,,,,Osasuna,,,,Head-to-Head,
29,Sun,2023-04-16,,Getafe,,,,Barcelona,,,,Head-to-Head,
29,Sun,2023-04-16,,Atlético Madrid,,,,Almería,,,,Head-to-Head,
,,,,,,,,,,,,,
30,Sun,2023-04-23,,Osasuna,,,,Betis,,,,Head-to-Head,
30,Sun,2023-04-23,,Valladolid,,,,Girona,,,,Head-to-Head,
30,Sun,2023-04-23,,Elche,,,,Valencia,,,,Head-to-Head,
30,Sun,2023-04-23,,Sevilla,,,,Villarreal,,,,Head-to-Head,
30,Sun,2023-04-23,,Barcelona,,,,Atlético Madrid,,,,Head-to-Head,
30,Sun,2023-04-23,,Real Madrid,,,,Celta Vigo,,,,Head-to-Head,
30,Sun,2023-04-23,,Mallorca,,,,Getafe,,,,Head-to-Head,
30,Sun,2023-04-23,,Real Sociedad,,,,Rayo Vallecano,,,,Head-to-Head,
30,Sun,2023-04-23,,Almería,,,,Athletic Club,,,,Head-to-Head,
30,Sun,2023-04-23,,Espanyol,,,,Cádiz,,,,Head-to-Head,
,,,,,,,,,,,,,
31,Wed,2023-04-26,,Rayo Vallecano,,,,Barcelona,,,,Head-to-Head,
31,Wed,2023-04-26,,Girona,,,,Real Madrid,,,,Head-to-Head,
31,Wed,2023-04-26,,Valencia,,,,Valladolid,,,,Head-to-Head,
31,Wed,2023-04-26,,Cádiz,,,,Osasuna,,,,Head-to-Head,
31,Wed,2023-04-26,,Athletic Club,,,,Sevilla,,,,Head-to-Head,
31,Wed,2023-04-26,,Betis,,,,Real Sociedad,,,,Head-to-Head,
31,Wed,2023-04-26,,Celta Vigo,,,,Elche,,,,Head-to-Head,
31,Wed,2023-04-26,,Villarreal,,,,Espanyol,,,,Head-to-Head,
31,Wed,2023-04-26,,Getafe,,,,Almería,,,,Head-to-Head,
31,Wed,2023-04-26,,Atlético Madrid,,,,Mallorca,,,,Head-to-Head,
,,,,,,,,,,,,,
32,Sun,2023-04-30,,Real Madrid,,,,Almería,,,,Head-to-Head,
32,Sun,2023-04-30,,Osasuna,,,,Real Sociedad,,,,Head-to-Head,
32,Sun,2023-04-30,,Barcelona,,,,Betis,,,,Head-to-Head,
32,Sun,2023-04-30,,Mallorca,,,,Athletic Club,,,,Head-to-Head,
32,Sun,2023-04-30,,Cádiz,,,,Valencia,,,,Head-to-Head,
32,Sun,2023-04-30,,Espanyol,,,,Getafe,,,,Head-to-Head,
32,Sun,2023-04-30,,Valladolid,,,,Atlético Madrid,,,,Head-to-Head,
32,Sun,2023-04-30,,Villarreal,,,,Celta Vigo,,,,Head-to-Head,
32,Sun,2023-04-30,,Elche,,,,Rayo Vallecano,,,,Head-to-Head,
32,Sun,2023-04-30,,Sevilla,,,,Girona,,,,Head-to-Head,
,,,,,,,,,,,,,
33,Wed,2023-05-03,,Getafe,,,,Celta Vigo,,,,Head-to-Head,
33,Wed,2023-05-03,,Real Sociedad,,,,Real Madrid,,,,Head-to-Head,
33,Wed,2023-05-03,,Valencia,,,,Villarreal,,,,Head-to-Head,
33,Wed,2023-05-03,,Almería,,,,Elche,,,,Head-to-Head,
33,Wed,2023-05-03,,Girona,,,,Mallorca,,,,Head-to-Head,
33,Wed,2023-05-03,,Rayo Vallecano,,,,Valladolid,,,,Head-to-Head,
33,Wed,2023-05-03,,Sevilla,,,,Espanyol,,,,Head-to-Head,
33,Wed,2023-05-03,,Barcelona,,,,Osasuna,,,,Head-to-Head,
33,Wed,2023-05-03,,Athletic Club,,,,Betis,,,,Head-to-Head,
33,Wed,2023-05-03,,Atlético Madrid,,,,Cádiz,,,,Head-to-Head,
,,,,,,,,,,,,,
34,Sun,2023-05-14,,Real Sociedad,,,,Girona,,,,Head-to-Head,
34,Sun,2023-05-14,,Celta Vigo,,,,Valencia,,,,Head-to-Head,
34,Sun,2023-05-14,,Espanyol,,,,Barcelona,,,,Head-to-Head,
34,Sun,2023-05-14,,Villarreal,,,,Athletic Club,,,,Head-to-Head,
34,Sun,2023-05-14,,Osasuna,,,,Almería,,,,Head-to-Head,
34,Sun,2023-05-14,,Valladolid,,,,Sevilla,,,,Head-to-Head,
34,Sun,2023-05-14,,Betis,,,,Rayo Vallecano,,,,Head-to-Head,
34,Sun,2023-05-14,,Mallorca,,,,Cádiz,,,,Head-to-Head,
34,Sun,2023-05-14,,Elche,,,,Atlético Madrid,,,,Head-to-Head,
34,Sun,2023-05-14,,Real Madrid,,,,Getafe,,,,Head-to-Head,
,,,,,,,,,,,,,
35,Sun,2023-05-21,,Getafe,,,,Elche,,,,Head-to-Head,
35,Sun,2023-05-21,,Girona,,,,Villarreal,,,,Head-to-Head,
35,Sun,2023-05-21,,Valencia,,,,Real Madrid,,,,Head-to-Head,
35,Sun,2023-05-21,,Rayo Vallecano,,,,Espanyol,,,,Head-to-Head,
35,Sun,2023-05-21,,Cádiz,,,,Valladolid,,,,Head-to-Head,
35,Sun,2023-05-21,,Atlético Madrid,,,,Osasuna,,,,Head-to-Head,
35,Sun,2023-05-21,,Athletic Club,,,,Celta Vigo,,,,Head-to-Head,
35,Sun,2023-05-21,,Barcelona,,,,Real Sociedad,,,,Head-to-Head,
35,Sun,2023-05-21,,Almería,,,,Mallorca,,,,Head-to-Head,
35,Sun,2023-05-21,,Sevilla,,,,Betis,,,,Head-to-Head,
,,,,,,,,,,,,,
36,Wed,2023-05-24,,Espanyol,,,,Atlético Madrid,,,,Head-to-Head,
36,Wed,2023-05-24,,Betis,,,,Getafe,,,,Head-to-Head,
36,Wed,2023-05-24,,Celta Vigo,,,,Girona,,,,Head-to-Head,
36,Wed,2023-05-24,,Real Sociedad,,,,Almería,,,,Head-to-Head,
36,Wed,2023-05-24,,Elche,,,,Sevilla,,,,Head-to-Head,
36,Wed,2023-05-24,,Mallorca,,,,Valencia,,,,Head-to-Head,
36,Wed,2023-05-24,,Valladolid,,,,Barcelona,,,,Head-to-Head,
36,Wed,2023-05-24,,Real Madrid,,,,Rayo Vallecano,,,,Head-to-Head,
36,Wed,2023-05-24,,Osasuna,,,,Athletic Club,,,,Head-to-Head,
36,Wed,2023-05-24,,Villarreal,,,,Cádiz,,,,Head-to-Head,
,,,,,,,,,,,,,
37,Sun,2023-05-28,,Valencia,,,,Espanyol,,,,Head-to-Head,
37,Sun,2023-05-28,,Athletic Club,,,,Elche,,,,Head-to-Head,
37,Sun,2023-05-28,,Girona,,,,Betis,,,,Head-to-Head,
37,Sun,2023-05-28,,Rayo Vallecano,,,,Villarreal,,,,Head-to-Head,
37,Sun,2023-05-28,,Almería,,,,Valladolid,,,,Head-to-Head,
37,Sun,2023-05-28,,Atlético Madrid,,,,Real Sociedad,,,,Head-to-Head,
37,Sun,2023-05-28,,Cádiz,,,,Celta Vigo,,,,Head-to-Head,
37,Sun,2023-05-28,,Barcelona,,,,Mallorca,,,,Head-to-Head,
37,Sun,2023-05-28,,Getafe,,,,Osasuna,,,,Head-to-Head,
37,Sun,2023-05-28,,Sevilla,,,,Real Madrid,,,,Head-to-Head,
,,,,,,,,,,,,,
38,Sun,2023-06-04,,Valladolid,,,,Getafe,,,,Head-to-Head,
38,Sun,2023-06-04,,Villarreal,,,,Atlético Madrid,,,,Head-to-Head,
38,Sun,2023-06-04,,Betis,,,,Valencia,,,,Head-to-Head,
38,Sun,2023-06-04,,Real Sociedad,,,,Sevilla,,,,Head-to-Head,
38,Sun,2023-06-04,,Elche,,,,Cádiz,,,,Head-to-Head,
38,Sun,2023-06-04,,Celta Vigo,,,,Barcelona,,,,Head-to-Head,
38,Sun,2023-06-04,,Espanyol,,,,Almería,,,,Head-to-Head,
38,Sun,2023-06-04,,Real Madrid,,,,Athletic Club,,,,Head-to-Head,
38,Sun,2023-06-04,,Osasuna,,,,Girona,,,,Head-to-Head,
38,Sun,2023-06-04,,Mallorca,,,,Rayo Vallecano,,,,Head-to-Head,
